ntree      OOB      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35
    1:  78.12% 61.79% 79.91% 81.57% 80.83% 80.58% 80.09% 89.89% 87.76% 92.21% 92.98% 64.46% 96.84% 96.10% 93.75% 96.88% 83.33% 38.46%100.00%100.00% 91.30%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%100.00%100.00%100.00%   nan%
    2:  77.75% 61.77% 79.62% 78.63% 80.00% 77.19% 81.10% 91.16% 89.22% 91.16% 95.31% 57.39% 95.68% 99.20% 92.31% 98.70% 82.67% 27.78% 95.35%100.00% 94.59%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%100.00%100.00%100.00%   nan%
    3:  77.37% 60.33% 77.92% 79.31% 81.68% 74.75% 81.47% 90.14% 91.70% 90.58% 93.85% 60.27% 96.45% 96.77% 90.32% 98.96% 83.87% 31.82% 96.43%100.00% 90.70%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%100.00%100.00%100.00%   nan%
    4:  76.72% 58.74% 77.06% 79.59% 80.61% 75.00% 79.85% 90.46% 90.65% 89.43% 94.98% 59.61% 96.92% 97.81% 88.57% 99.07% 82.35% 30.43% 96.92%100.00% 97.83%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%
    5:  76.46% 58.18% 76.68% 80.05% 80.87% 76.47% 82.01% 89.80% 88.72% 90.62% 94.74% 54.61% 97.02% 96.84% 88.89% 99.12% 82.08% 33.33% 97.06%100.00% 94.00%100.00%100.00% 96.88%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%   nan%
    6:  76.12% 56.86% 75.71% 80.02% 80.84% 75.50% 82.57% 90.69% 89.74% 91.12% 94.89% 55.00% 96.77% 97.01% 91.67% 99.15% 82.57% 29.17% 98.61%100.00% 92.16%100.00% 97.50% 96.88%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
    7:  75.75% 56.49% 75.77% 79.45% 80.20% 75.10% 82.87% 90.06% 89.53% 90.46% 94.36% 54.77% 96.41% 97.54% 88.89% 99.18% 80.36% 28.00% 98.65%100.00% 92.16%100.00% 95.00% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
    8:  75.03% 54.91% 75.82% 79.27% 79.63% 70.77% 81.91% 89.00% 90.22% 93.08% 93.75% 51.39% 96.11% 97.56% 91.67% 99.20% 81.74% 28.00% 98.65%100.00% 92.31%100.00% 97.50% 93.94%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
    9:  74.75% 54.49% 75.85% 78.95% 78.88% 70.72% 82.18% 89.69% 89.84% 91.86% 93.54% 50.34% 96.93% 96.62% 91.67% 99.22% 80.87% 28.00% 97.30%100.00% 90.57%100.00% 95.00% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   10:  74.21% 53.28% 74.54% 78.58% 77.99% 70.72% 82.62% 90.55% 90.45% 91.94% 94.77% 49.33% 94.64% 97.12% 89.19%100.00% 81.20% 28.00% 98.65%100.00% 92.45%100.00%100.00% 93.94%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   11:  73.62% 51.74% 75.22% 77.97% 77.80% 67.68% 82.51% 90.22% 89.76% 90.23% 95.08% 47.83% 95.82% 96.15% 91.89% 99.22% 82.05% 28.00%100.00%100.00% 98.11%100.00% 95.00% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
   12:  73.35% 51.90% 74.30% 76.42% 78.65% 67.80% 81.11% 89.45% 89.79% 91.50% 94.48% 47.16% 95.82% 97.60% 91.89% 99.22% 81.20% 28.00%100.00%100.00% 98.11%100.00%100.00% 96.97%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00% 50.00%
   13:  73.03% 50.65% 74.10% 77.12% 78.55% 65.66% 80.63% 89.05% 89.53% 91.27% 95.09% 51.50% 95.82% 96.63% 89.19% 98.45% 82.20% 28.00%100.00%100.00% 98.11%100.00% 97.50% 96.97%100.00% 90.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00% 50.00%
   14:  72.72% 49.81% 74.74% 76.74% 77.38% 67.92% 79.37% 90.08% 90.08% 91.77% 95.09% 47.51% 95.06% 97.13% 91.89%100.00% 83.05% 28.00%100.00%100.00%100.00%100.00% 97.50% 96.97%100.00% 90.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%100.00%  0.00%
